,°F,% LAP,Hours
307,49.0,0.07%,300.4
308,49.0,0.08%,278.1
309,49.0,0.09%,259.8
310,49.0,0.1%,244.4
311,49.0,0.2%,163.7
312,49.0,0.3%,129.5
313,49.0,0.4%,109.6
314,49.0,0.5%,96.4
315,49.0,0.6%,86.7
316,49.0,0.7%,79.3
317,49.0,0.8%,73.4
318,49.0,0.9%,68.6
319,49.0,1.0%,64.5
320,49.0,1.1%,61.1
321,49.0,1.2%,58.1
322,49.0,1.3%,55.5
323,49.0,1.4%,53.1
324,49.0,1.5%,51.1
325,49.0,1.6%,49.2
326,49.0,1.7%,47.5
327,49.0,1.8%,45.9
328,49.0,1.9%,44.5
329,49.0,2.0%,43.2
330,50.0,0.006%,1121.0
331,50.0,0.007%,1025.4
332,50.0,0.008%,949.2
333,50.0,0.009%,886.7
334,50.0,0.01%,834.3
335,50.0,0.02%,558.8
336,50.0,0.03%,442.0
337,50.0,0.04%,374.2
338,50.0,0.05%,328.9
339,50.0,0.06%,296.0
340,50.0,0.07%,270.8
341,50.0,0.08%,250.7
342,50.0,0.09%,234.2
343,50.0,0.1%,220.3
344,50.0,0.2%,147.6
345,50.0,0.3%,116.7
346,50.0,0.4%,98.8
347,50.0,0.5%,86.9
348,50.0,0.6%,78.2
349,50.0,0.7%,71.5
350,50.0,0.8%,66.2
351,50.0,0.9%,61.8
352,50.0,1.0%,58.2
353,50.0,1.1%,55.1
354,50.0,1.2%,52.4
355,50.0,1.3%,50.0
356,50.0,1.4%,47.9
357,50.0,1.5%,46.0
358,50.0,1.6%,44.3
359,50.0,1.7%,42.8
360,50.0,1.8%,41.4
361,50.0,1.9%,40.1
362,50.0,2.0%,39.0
363,51.0,0.006%,1012.5
364,51.0,0.007%,926.1
365,51.0,0.008%,857.3
366,51.0,0.009%,800.9
367,51.0,0.01%,753.5
368,51.0,0.02%,504.7
369,51.0,0.03%,399.2
370,51.0,0.04%,338.0
371,51.0,0.05%,297.1
372,51.0,0.06%,267.4
373,51.0,0.07%,244.6
374,51.0,0.08%,226.4
375,51.0,0.09%,211.5
376,51.0,0.1%,199.0
377,51.0,0.2%,133.3
378,51.0,0.3%,105.4
379,51.0,0.4%,89.3
380,51.0,0.5%,78.5
381,51.0,0.6%,70.6
382,51.0,0.7%,64.6
383,51.0,0.8%,59.8
384,51.0,0.9%,55.8
385,51.0,1.0%,52.5
386,51.0,1.1%,49.7
387,51.0,1.2%,47.3
388,51.0,1.3%,45.2
389,51.0,1.4%,43.3
390,51.0,1.5%,41.6
391,51.0,1.6%,40.0
392,51.0,1.7%,38.7
393,51.0,1.8%,37.4
394,51.0,1.9%,36.3
395,51.0,2.0%,35.2
396,52.0,0.006%,916.3
397,52.0,0.007%,838.1
398,52.0,0.008%,775.8
399,52.0,0.009%,724.8
400,52.0,0.01%,681.9
401,52.0,0.02%,456.7
402,52.0,0.03%,361.3
403,52.0,0.04%,305.9
404,52.0,0.05%,268.9
405,52.0,0.06%,242.0
406,52.0,0.07%,221.3
407,52.0,0.08%,204.9
408,52.0,0.09%,191.4
409,52.0,0.1%,180.1
410,52.0,0.2%,120.6
411,52.0,0.3%,95.4
412,52.0,0.4%,80.8
413,52.0,0.5%,71.0
414,52.0,0.6%,63.9
415,52.0,0.7%,58.4
416,52.0,0.8%,54.1
417,52.0,0.9%,50.5
418,52.0,1.0%,47.6
419,52.0,1.1%,45.0
420,52.0,1.2%,42.8
421,52.0,1.3%,40.9
422,52.0,1.4%,39.1
423,52.0,1.5%,37.6
424,52.0,1.6%,36.2
425,52.0,1.7%,35.0
426,52.0,1.8%,33.9
427,52.0,1.9%,32.8
428,52.0,2.0%,31.9
429,53.0,0.006%,830.8
430,53.0,0.007%,759.9
431,53.0,0.008%,703.5
432,53.0,0.009%,657.1
433,53.0,0.01%,618.3
434,53.0,0.02%,414.1
435,53.0,0.03%,327.6
436,53.0,0.04%,277.4
437,53.0,0.05%,243.8
438,53.0,0.06%,219.4
439,53.0,0.07%,200.7
440,53.0,0.08%,185.8
441,53.0,0.09%,173.5
442,53.0,0.1%,163.3
443,53.0,0.2%,109.4
444,53.0,0.3%,86.5
445,53.0,0.4%,73.2
446,53.0,0.5%,64.4
447,53.0,0.6%,57.9
448,53.0,0.7%,53.0
449,53.0,0.8%,49.1
450,53.0,0.9%,45.8
451,53.0,1.0%,43.1
452,53.0,1.1%,40.8
453,53.0,1.2%,38.8
454,53.0,1.3%,37.0
455,53.0,1.4%,35.5
456,53.0,1.5%,34.1
457,53.0,1.6%,32.9
458,53.0,1.7%,31.7
459,53.0,1.8%,30.7
460,53.0,1.9%,29.7
461,53.0,2.0%,28.9
462,54.0,0.006%,754.7
463,54.0,0.007%,690.3
464,54.0,0.008%,639.0
465,54.0,0.009%,596.9
466,54.0,0.01%,561.6
467,54.0,0.02%,376.2
468,54.0,0.03%,297.6
469,54.0,0.04%,251.9
470,54.0,0.05%,221.4
471,54.0,0.06%,199.3
472,54.0,0.07%,182.3
473,54.0,0.08%,168.7
474,54.0,0.09%,157.6
475,54.0,0.1%,148.3
476,54.0,0.2%,99.3
477,54.0,0.3%,78.6
478,54.0,0.4%,66.5
479,54.0,0.5%,58.5
480,54.0,0.6%,52.6
481,54.0,0.7%,48.1
482,54.0,0.8%,44.6
483,54.0,0.9%,41.6
484,54.0,1.0%,39.2
485,54.0,1.1%,37.1
486,54.0,1.2%,35.2
487,54.0,1.3%,33.7
488,54.0,1.4%,32.2
489,54.0,1.5%,31.0
490,54.0,1.6%,29.8
491,54.0,1.7%,28.8
492,54.0,1.8%,27.9
493,54.0,1.9%,27.0
494,54.0,2.0%,26.2
495,55.0,0.006%,686.7
496,55.0,0.007%,628.2
497,55.0,0.008%,581.5
498,55.0,0.009%,543.2
499,55.0,0.01%,511.1
500,55.0,0.02%,342.3
501,55.0,0.03%,270.8
502,55.0,0.04%,229.3
503,55.0,0.05%,201.5
504,55.0,0.06%,181.3
505,55.0,0.07%,165.9
506,55.0,0.08%,153.6
507,55.0,0.09%,143.4
508,55.0,0.1%,135.0
509,55.0,0.2%,90.4
510,55.0,0.3%,71.5
511,55.0,0.4%,60.5
512,55.0,0.5%,53.2
513,55.0,0.6%,47.9
514,55.0,0.7%,43.8
515,55.0,0.8%,40.6
516,55.0,0.9%,37.9
517,55.0,1.0%,35.6
518,55.0,1.1%,33.7
519,55.0,1.2%,32.1
520,55.0,1.3%,30.6
521,55.0,1.4%,29.3
522,55.0,1.5%,28.2
523,55.0,1.6%,27.2
524,55.0,1.7%,26.2
525,55.0,1.8%,25.4
526,55.0,1.9%,24.6
527,55.0,2.0%,23.9
528,56.0,0.006%,626.0
529,56.0,0.007%,572.6
530,56.0,0.008%,530.0
531,56.0,0.009%,495.1
532,56.0,0.01%,465.9
533,56.0,0.02%,312.0
534,56.0,0.03%,246.8
535,56.0,0.04%,209.0
536,56.0,0.05%,183.7
537,56.0,0.06%,165.3
538,56.0,0.07%,151.2
539,56.0,0.08%,140.0
540,56.0,0.09%,130.8
541,56.0,0.1%,123.0
542,56.0,0.2%,82.4
543,56.0,0.3%,65.2
544,56.0,0.4%,55.2
545,56.0,0.5%,48.5
546,56.0,0.6%,43.7
547,56.0,0.7%,39.9
548,56.0,0.8%,37.0
549,56.0,0.9%,34.5
550,56.0,1.0%,32.5
551,56.0,1.1%,30.7
552,56.0,1.2%,29.2
553,56.0,1.3%,27.9
554,56.0,1.4%,26.7
555,56.0,1.5%,25.7
556,56.0,1.6%,24.8
557,56.0,1.7%,23.9
558,56.0,1.8%,23.1
559,56.0,1.9%,22.4
560,56.0,2.0%,21.8
561,57.0,0.006%,571.5
562,57.0,0.007%,522.8
563,57.0,0.008%,483.9
564,57.0,0.009%,452.1
565,57.0,0.01%,425.3
566,57.0,0.02%,284.9
567,57.0,0.03%,225.3
568,57.0,0.04%,190.8
569,57.0,0.05%,167.7
570,57.0,0.06%,150.9
571,57.0,0.07%,138.1
572,57.0,0.08%,127.8
573,57.0,0.09%,119.4
574,57.0,0.1%,112.3
575,57.0,0.2%,75.2
576,57.0,0.3%,59.5
577,57.0,0.4%,50.4
578,57.0,0.5%,44.3
579,57.0,0.6%,39.9
580,57.0,0.7%,36.5
581,57.0,0.8%,33.7
582,57.0,0.9%,31.5
583,57.0,1.0%,29.7
584,57.0,1.1%,28.1
585,57.0,1.2%,26.7
586,57.0,1.3%,25.5
587,57.0,1.4%,24.4
588,57.0,1.5%,23.5
589,57.0,1.6%,22.6
590,57.0,1.7%,21.8
591,57.0,1.8%,21.1
592,57.0,1.9%,20.5
593,57.0,2.0%,19.9
594,58.0,0.006%,522.6
595,58.0,0.007%,478.1
596,58.0,0.008%,442.5
597,58.0,0.009%,413.4
598,58.0,0.01%,389.0
599,58.0,0.02%,260.5
600,58.0,0.03%,206.1
601,58.0,0.04%,174.5
602,58.0,0.05%,153.4
603,58.0,0.06%,138.0
604,58.0,0.07%,126.2
605,58.0,0.08%,116.9
606,58.0,0.09%,109.2
607,58.0,0.1%,102.7
608,58.0,0.2%,68.8
609,58.0,0.3%,54.4
610,58.0,0.4%,46.1
611,58.0,0.5%,40.5
612,58.0,0.6%,36.4
613,58.0,0.7%,33.3
614,58.0,0.8%,30.9
615,58.0,0.9%,28.8
616,58.0,1.0%,27.1
617,58.0,1.1%,25.7
618,58.0,1.2%,24.4
619,58.0,1.3%,23.3
620,58.0,1.4%,22.3
621,58.0,1.5%,21.5
622,58.0,1.6%,20.7
623,58.0,1.7%,20.0
624,58.0,1.8%,19.3
625,58.0,1.9%,18.7
626,58.0,2.0%,18.2
627,59.0,0.006%,478.7
628,59.0,0.007%,437.8
629,59.0,0.008%,405.3
630,59.0,0.009%,378.6
631,59.0,0.01%,356.2
632,59.0,0.02%,238.6
633,59.0,0.03%,188.7
634,59.0,0.04%,159.8
635,59.0,0.05%,140.5
636,59.0,0.06%,126.4
637,59.0,0.07%,115.6
638,59.0,0.08%,107.0
639,59.0,0.09%,100.0
640,59.0,0.1%,94.1
641,59.0,0.2%,63.0
642,59.0,0.3%,49.8
643,59.0,0.4%,42.2
644,59.0,0.5%,37.1
645,59.0,0.6%,33.4
646,59.0,0.7%,30.5
647,59.0,0.8%,28.3
648,59.0,0.9%,26.4
649,59.0,1.0%,24.8
650,59.0,1.1%,23.5
651,59.0,1.2%,22.4
652,59.0,1.3%,21.3
653,59.0,1.4%,20.5
654,59.0,1.5%,19.7
655,59.0,1.6%,18.9
656,59.0,1.7%,18.3
657,59.0,1.8%,17.7
658,59.0,1.9%,17.1
659,59.0,2.0%,16.6
660,60.0,0.006%,439.0
661,60.0,0.007%,401.6
662,60.0,0.008%,371.7
663,60.0,0.009%,347.3
664,60.0,0.01%,326.7
665,60.0,0.02%,218.8
666,60.0,0.03%,173.1
667,60.0,0.04%,146.6
668,60.0,0.05%,128.8
669,60.0,0.06%,115.9
670,60.0,0.07%,106.1
671,60.0,0.08%,98.2
672,60.0,0.09%,91.7
673,60.0,0.1%,86.3
674,60.0,0.2%,57.8
675,60.0,0.3%,45.7
676,60.0,0.4%,38.7
677,60.0,0.5%,34.0
678,60.0,0.6%,30.6
679,60.0,0.7%,28.0
680,60.0,0.8%,25.9
681,60.0,0.9%,24.2
682,60.0,1.0%,22.8
683,60.0,1.1%,21.6
684,60.0,1.2%,20.5
685,60.0,1.3%,19.6
686,60.0,1.4%,18.8
687,60.0,1.5%,18.0
688,60.0,1.6%,17.4
689,60.0,1.7%,16.8
690,60.0,1.8%,16.2
691,60.0,1.9%,15.7
692,60.0,2.0%,15.3
693,61.0,0.006%,403.3
694,61.0,0.007%,368.9
695,61.0,0.008%,341.5
696,61.0,0.009%,319.0
697,61.0,0.01%,300.1
698,61.0,0.02%,201.0
699,61.0,0.03%,159.0
700,61.0,0.04%,134.6
701,61.0,0.05%,118.3
702,61.0,0.06%,106.5
703,61.0,0.07%,97.4
704,61.0,0.08%,90.2
705,61.0,0.09%,84.2
706,61.0,0.1%,79.3
707,61.0,0.2%,53.1
708,61.0,0.3%,42.0
709,61.0,0.4%,35.6
710,61.0,0.5%,31.2
711,61.0,0.6%,28.1
712,61.0,0.7%,25.7
713,61.0,0.8%,23.8
714,61.0,0.9%,22.2
715,61.0,1.0%,20.9
716,61.0,1.1%,19.8
717,61.0,1.2%,18.8
718,61.0,1.3%,18.0
719,61.0,1.4%,17.2
720,61.0,1.5%,16.6
721,61.0,1.6%,15.9
722,61.0,1.7%,15.4
723,61.0,1.8%,14.9
724,61.0,1.9%,14.4
725,61.0,2.0%,14.0
726,62.0,0.006%,370.9
727,62.0,0.007%,339.3
728,62.0,0.008%,314.1
729,62.0,0.009%,293.4
730,62.0,0.01%,276.1
731,62.0,0.02%,184.9
732,62.0,0.03%,146.2
733,62.0,0.04%,123.8
734,62.0,0.05%,108.8
735,62.0,0.06%,98.0
736,62.0,0.07%,89.6
737,62.0,0.08%,82.9
738,62.0,0.09%,77.5
739,62.0,0.1%,72.9
740,62.0,0.2%,48.8
741,62.0,0.3%,38.6
742,62.0,0.4%,32.7
743,62.0,0.5%,28.7
744,62.0,0.6%,25.9
745,62.0,0.7%,23.7
746,62.0,0.8%,21.9
747,62.0,0.9%,20.5
748,62.0,1.0%,19.3
749,62.0,1.1%,18.2
750,62.0,1.2%,17.3
751,62.0,1.3%,16.5
752,62.0,1.4%,15.8
753,62.0,1.5%,15.2
754,62.0,1.6%,14.7
755,62.0,1.7%,14.2
756,62.0,1.8%,13.7
757,62.0,1.9%,13.3
758,62.0,2.0%,12.9
759,63.0,0.006%,341.6
760,63.0,0.007%,312.5
761,63.0,0.008%,289.3
762,63.0,0.009%,270.2
763,63.0,0.01%,254.3
764,63.0,0.02%,170.3
765,63.0,0.03%,134.7
766,63.0,0.04%,114.1
767,63.0,0.05%,100.2
768,63.0,0.06%,90.2
769,63.0,0.07%,82.5
770,63.0,0.08%,76.4
771,63.0,0.09%,71.4
772,63.0,0.1%,67.1
773,63.0,0.2%,45.0
774,63.0,0.3%,35.6
775,63.0,0.4%,30.1
776,63.0,0.5%,26.5
777,63.0,0.6%,23.8
778,63.0,0.7%,21.8
779,63.0,0.8%,20.2
780,63.0,0.9%,18.8
781,63.0,1.0%,17.7
782,63.0,1.1%,16.8
783,63.0,1.2%,16.0
784,63.0,1.3%,15.2
785,63.0,1.4%,14.6
786,63.0,1.5%,14.0
787,63.0,1.6%,13.5
788,63.0,1.7%,13.0
789,63.0,1.8%,12.6
790,63.0,1.9%,12.2
791,63.0,2.0%,11.9
792,64.0,0.006%,315.1
793,64.0,0.007%,288.2
794,64.0,0.008%,266.8
795,64.0,0.009%,249.2
796,64.0,0.01%,234.5
797,64.0,0.02%,157.0
798,64.0,0.03%,124.2
799,64.0,0.04%,105.2
800,64.0,0.05%,92.5
801,64.0,0.06%,83.2
802,64.0,0.07%,76.1
803,64.0,0.08%,70.4
804,64.0,0.09%,65.8
805,64.0,0.1%,61.9
806,64.0,0.2%,41.5
807,64.0,0.3%,32.8
808,64.0,0.4%,27.8
809,64.0,0.5%,24.4
810,64.0,0.6%,22.0
811,64.0,0.7%,20.1
812,64.0,0.8%,18.6
813,64.0,0.9%,17.4
814,64.0,1.0%,16.4
815,64.0,1.1%,15.5
816,64.0,1.2%,14.7
817,64.0,1.3%,14.0
818,64.0,1.4%,13.5
819,64.0,1.5%,12.9
820,64.0,1.6%,12.5
821,64.0,1.7%,12.0
822,64.0,1.8%,11.6
823,64.0,1.9%,11.3
824,64.0,2.0%,11.0
825,65.0,0.006%,290.9
826,65.0,0.007%,266.1
827,65.0,0.008%,246.3
828,65.0,0.009%,230.1
829,65.0,0.01%,216.5
830,65.0,0.02%,145.0
831,65.0,0.03%,114.7
832,65.0,0.04%,97.1
833,65.0,0.05%,85.4
834,65.0,0.06%,76.8
835,65.0,0.07%,70.3
836,65.0,0.08%,65.1
837,65.0,0.09%,60.8
838,65.0,0.1%,57.2
839,65.0,0.2%,38.3
840,65.0,0.3%,30.3
841,65.0,0.4%,25.6
842,65.0,0.5%,22.5
843,65.0,0.6%,20.3
844,65.0,0.7%,18.6
845,65.0,0.8%,17.2
846,65.0,0.9%,16.0
847,65.0,1.0%,15.1
848,65.0,1.1%,14.3
849,65.0,1.2%,13.6
850,65.0,1.3%,13.0
851,65.0,1.4%,12.4
852,65.0,1.5%,11.9
853,65.0,1.6%,11.5
854,65.0,1.7%,11.1
855,65.0,1.8%,10.7
856,65.0,1.9%,10.4
857,65.0,2.0%,10.1
858,66.0,0.006%,269.0
859,66.0,0.007%,246.0
860,66.0,0.008%,227.7
861,66.0,0.009%,212.7
862,66.0,0.01%,200.2
863,66.0,0.02%,134.1
864,66.0,0.03%,106.0
865,66.0,0.04%,89.8
866,66.0,0.05%,78.9
867,66.0,0.06%,71.0
868,66.0,0.07%,65.0
869,66.0,0.08%,60.1
870,66.0,0.09%,56.2
871,66.0,0.1%,52.9
872,66.0,0.2%,35.4
873,66.0,0.3%,28.0
874,66.0,0.4%,23.7
875,66.0,0.5%,20.8
876,66.0,0.6%,18.8
877,66.0,0.7%,17.2
878,66.0,0.8%,15.9
879,66.0,0.9%,14.8
880,66.0,1.0%,14.0
881,66.0,1.1%,13.2
882,66.0,1.2%,12.6
883,66.0,1.3%,12.0
884,66.0,1.4%,11.5
885,66.0,1.5%,11.0
886,66.0,1.6%,10.6
887,66.0,1.7%,10.3
888,66.0,1.8%,9.9
889,66.0,1.9%,9.6
890,66.0,2.0%,9.3
891,67.0,0.006%,248.9
892,67.0,0.007%,227.7
893,67.0,0.008%,210.8
894,67.0,0.009%,196.9
895,67.0,0.01%,185.3
896,67.0,0.02%,124.1
897,67.0,0.03%,98.2
898,67.0,0.04%,83.1
899,67.0,0.05%,73.0
900,67.0,0.06%,65.7
901,67.0,0.07%,60.1
902,67.0,0.08%,55.7
903,67.0,0.09%,52.0
904,67.0,0.1%,48.9
905,67.0,0.2%,32.8
906,67.0,0.3%,25.9
907,67.0,0.4%,21.9
908,67.0,0.5%,19.3
909,67.0,0.6%,17.4
910,67.0,0.7%,15.9
911,67.0,0.8%,14.7
912,67.0,0.9%,13.7
913,67.0,1.0%,12.9
914,67.0,1.1%,12.2
915,67.0,1.2%,11.6
916,67.0,1.3%,11.1
917,67.0,1.4%,10.6
918,67.0,1.5%,10.2
919,67.0,1.6%,9.8
920,67.0,1.7%,9.5
921,67.0,1.8%,9.2
922,67.0,1.9%,8.9
923,67.0,2.0%,8.7
924,68.0,0.006%,230.7
925,68.0,0.007%,211.0
926,68.0,0.008%,195.3
